MemberName,CharacterName,Class,Level,Race,Main/Alt,Rank,AvailableDKP,EarnedDKP,SpentDKP,ApplicationDate,MembershipDate
Darkthoughts,Soulsipper,Necromancer,39,Iksar,alternate,member,34,1661,1684,2024-10-26 16:11:03,2024-10-28 21:17:03
Darkthoughts,Curare,Cleric,60,Dark Elf,alternate,member,34,1661,1684,2024-10-26 16:11:03,2024-10-28 21:17:03
Darqwyng,Darqwyng,Cleric,56,Dwarf,main,applicant,0,0,0,2026-02-09 01:51:39,
Dedzi,Dedzi,Shaman,55,Iksar,main,member,33,35,2,2025-10-14 00:20:39,
Demas,Dalura,Wizard,44,Erudite,alternate,inactive,169,227,58,2024-10-26 19:18:41,
Demas,Throgar,Beastlord,31,Wood Elf,alternate,inactive,169,227,58,2024-10-26 19:18:41,
Demas,Demac,Shaman,30,Barbarian,alternate,inactive,169,227,58,2024-10-26 19:18:41,
Demas,Daluri,Ranger,25,Wood Elf,alternate,inactive,169,227,58,2024-10-26 19:18:41,
Demas,Dalure,Enchanter,49,Dark Elf,alternate,inactive,169,227,58,2024-10-26 19:18:41,
Demas,Demas,Bard,60,Half-Elf,main,inactive,169,227,58,2024-10-26 19:18:41,
Deputytom,Hobben,Rogue,20,Halfling,alternate,member,174,921,778,2024-11-23 00:34:48,2025-01-02 18:53:23
Deputytom,Bowazon,Ranger,56,Halfling,alternate,member,174,921,778,2024-11-23 00:34:48,2025-01-02 18:53:23
Deputytom,Pineal,Beastlord,20,Iksar,alternate,member,174,921,778,2024-11-23 00:34:48,2025-01-02 18:53:23
Deputytom,Deputytom,Warrior,60,Halfling,main,member,174,921,778,2024-11-23 00:34:48,2025-01-02 18:53:23
Deputytom,Bearhug,Beastlord,20,Ogre,alternate,member,174,921,778,2024-11-23 00:34:48,2025-01-02 18:53:23
Deputytom,Sebshaazu,Shaman,60,Iksar,main,member,174,921,778,2024-11-23 00:34:48,2025-01-02 18:53:23
Deputytom,Tarvox,Necromancer,20,Iksar,alternate,member,174,921,778,2024-11-23 00:34:48,2025-01-02 18:53:23
