MemberName,CharacterName,Class,Level,Race,Main/Alt,Rank,AvailableDKP,EarnedDKP,SpentDKP,ApplicationDate,MembershipDate
Hildy,Faun,Enchanter,60,Human,alternate,member,102,111,9,2025-12-17 05:02:08,2026-01-08 08:17:04
Hildy,Pebble,Cleric,53,Gnome,alternate,member,102,111,9,2025-12-17 05:02:08,2026-01-08 08:17:04
Hildy,Hildy,Paladin,60,Halfling,main,member,102,111,9,2025-12-17 05:02:08,2026-01-08 08:17:04
Hoxley,Hoxley,Ranger,60,Wood Elf,main,member,86,188,102,2026-01-28 18:08:26,2026-02-18 02:42:18
Ikari,Raiuny,Bard,52,Human,alternate,former,0,93,38,,
Ikari,Ikari,Monk,58,Iksar,main,former,0,93,38,,
Ilrond,Yeowler,Bard,51,Vah Shir,alternate,former,156,255,100,2024-12-09 02:18:06,
Ilrond,Ilrond,Paladin,60,High Elf,main,former,156,255,100,2024-12-09 02:18:06,
Ilrond,Verics,Wizard,50,Dark Elf,alternate,former,156,255,100,2024-12-09 02:18:06,
Inapp,Inapp,Monk,60,Iksar,main,member,77,370,293,2025-08-22 20:02:36,2025-08-22 20:23:47
Inapp,Appropriate,Cleric,25,Halfling,alternate,member,77,370,293,2025-08-22 20:02:36,2025-08-22 20:23:47
Insidiouss,Insidiouss,Rogue,60,Dwarf,main,member,40,41,1,2026-03-02 17:47:47,2026-03-24 20:38:16
Ivanasuk,Ivanasuk,Shadow Knight,53,Dark Elf,main,former,0,17,8,,
Janaz,Janaz,Necromancer,60,Iksar,main,member,58,5,0,2024-11-20 21:18:57,2025-01-02 18:54:47
Janaz,Mezme,Enchanter,34,Gnome,alternate,member,58,5,0,2024-11-20 21:18:57,2025-01-02 18:54:47
Janaz,Appolo,Cleric,50,Human,alternate,member,58,5,0,2024-11-20 21:18:57,2025-01-02 18:54:47
Janey,Janey,Wizard,60,Gnome,main,officer,193,360,167,2024-10-23 12:52:25,
Janey,Javier,Cleric,60,Dark Elf,main,officer,193,360,167,2024-10-23 12:52:25,
Janey,Jayyne,Warrior,1,Human,alternate,officer,193,360,167,2024-10-23 12:52:25,
Jcoop,Dryfire,Ranger,60,Halfling,main,member,102,205,103,2025-09-17 18:02:34,2025-10-15 06:18:50
Jcoop,Jcoop,Necromancer,60,Iksar,main,member,102,205,103,2025-09-17 18:02:34,2025-10-15 06:18:50
Jibontik,Jibontik,Magician,60,Erudite,main,member,100,112,12,2025-10-18 20:07:30,2025-11-08 22:41:29
Johngotti,Johngotti,Rogue,58,Dark Elf,main,member,31,35,4,2025-10-07 23:52:43,
Johngotti,Kattnipp,Ranger,55,Wood Elf,alternate,member,31,35,4,2025-10-07 23:52:43,
Johngotti,Furrbaby,Beastlord,44,Vah Shir,alternate,member,31,35,4,2025-10-07 23:52:43,
Johngotti,Soultouch,Enchanter,40,Dark Elf,alternate,member,31,35,4,2025-10-07 23:52:43,
Jonbones,Jonbones,Necromancer,56,Iksar,main,inactive,35,38,3,2025-01-01 04:48:22,
Joris,Joris,Necromancer,56,Iksar,main,member,16,38,22,2025-09-19 02:14:10,2025-10-02 03:22:25
Kaldolin,Kaldolin,Cleric,60,Dwarf,main,member,12,14,2,2025-05-21 22:55:17,
Kallado,Kallado,Druid,60,Human,main,member,19,141,122,2025-11-11 17:24:24,2025-12-06 02:36:44
Kappa,Stunted,Magician,56,Gnome,alternate,member,118,1722,1626,2024-10-25 23:42:34,2024-11-18 22:30:13
Kappa,Kappa,Monk,60,Iksar,main,member,118,1722,1626,2024-10-25 23:42:34,2024-11-18 22:30:13
Kappa,Antagonist,Wizard,48,Gnome,alternate,member,118,1722,1626,2024-10-25 23:42:34,2024-11-18 22:30:13
Kappa,Nineteen,Cleric,60,Dark Elf,alternate,member,118,1722,1626,2024-10-25 23:42:34,2024-11-18 22:30:13
Keea,Keezz,Druid,55,Wood Elf,alternate,member,56,56,0,2026-01-05 17:03:21,2026-02-19 04:21:53
Keea,Keea,Beastlord,60,Iksar,alternate,member,56,56,0,2026-01-05 17:03:21,2026-02-19 04:21:53
Keea,Keeze,Monk,60,Dark Elf,main,member,56,56,0,2026-01-05 17:03:21,2026-02-19 04:21:53
Keea,Keez,Shaman,60,Iksar,main,member,56,56,0,2026-01-05 17:03:21,2026-02-19 04:21:53
Keilly,Keilly,Rogue,60,Halfling,main,officer,135,1718,1640,2024-10-23 18:22:44,
Keilly,Zerobia,Wizard,60,Gnome,main,officer,135,1718,1640,2024-10-23 18:22:44,
Keilly,Grumblor,Cleric,37,Dwarf,alternate,officer,135,1718,1640,2024-10-23 18:22:44,
Kelon,Kelom,Magician,53,Gnome,alternate,member,17,328,391,2025-02-08 14:36:21,2025-02-25 22:07:54
Kelon,Kelon,Monk,60,Human,main,member,17,328,391,2025-02-08 14:36:21,2025-02-25 22:07:54
Kelthes,Kelthes,Beastlord,56,Iksar,main,member,62,77,15,2025-01-16 05:23:54,
Khamsin,Khamsin,Shaman,60,Iksar,main,member,494,844,350,2024-10-27 23:36:54,2024-10-28 21:25:50
Khamsin,Sancrist,Paladin,50,Half-Elf,alternate,member,494,844,350,2024-10-27 23:36:54,2024-10-28 21:25:50
Khamsin,Lycosa,Cleric,45,Dark Elf,alternate,member,494,844,350,2024-10-27 23:36:54,2024-10-28 21:25:50
Kiroku,Euric,Warrior,60,Halfling,alternate,member,92,1645,1592,2024-10-26 03:34:17,2024-10-28 21:21:45
Kiroku,Vaelor,Wizard,60,Dark Elf,main,member,92,1645,1592,2024-10-26 03:34:17,2024-10-28 21:21:45
Kiroku,Kiroku,Bard,60,Wood Elf,main,member,92,1645,1592,2024-10-26 03:34:17,2024-10-28 21:21:45
Kiroku,Kotetsu,Shadow Knight,30,Dark Elf,alternate,member,92,1645,1592,2024-10-26 03:34:17,2024-10-28 21:21:45
Kiroku,Kiromule,Warrior,1,Dwarf,alternate,member,92,1645,1592,2024-10-26 03:34:17,2024-10-28 21:21:45
Kiroku,Kyir,Ranger,35,Human,alternate,member,92,1645,1592,2024-10-26 03:34:17,2024-10-28 21:21:45
Kiznasty,Garrglon,Bard,40,Human,alternate,member,8,287,294,2026-02-04 01:21:02,2026-02-09 01:37:27
Kiznasty,Kiznasty,Monk,60,Iksar,main,member,8,287,294,2026-02-04 01:21:02,2026-02-09 01:37:27
Klanks,Klanks,Magician,60,Gnome,main,member,39,41,2,2026-04-30 20:31:27,
Kojimok,Kojimok,Beastlord,56,Vah Shir,main,member,0,0,0,2026-04-12 19:44:26,
Korrin,Korrin,Ranger,60,Wood Elf,main,member,25,41,126,2026-07-07 23:36:48,2026-07-28 12:00:28
Korrin,Wezloc,Wizard,60,Gnome,alternate,member,25,41,126,2026-07-07 23:36:48,2026-07-28 12:00:28
Kotu,Magestic,Magician,60,Gnome,alternate,member,211,248,37,2024-10-25 22:53:23,2024-10-28 21:22:44
Kotu,Kotu,Wizard,60,Dark Elf,main,member,211,248,37,2024-10-25 22:53:23,2024-10-28 21:22:44
Kouzelna,Kouzelna,Wizard,55,High Elf,main,former,0,29,2,,
Krunk,Tilowin,Bard,60,Wood Elf,alternate,member,6,167,161,2025-10-04 03:25:20,2025-10-26 20:06:21
Krunk,Krunk,Warrior,60,Ogre,main,member,6,167,161,2025-10-04 03:25:20,2025-10-26 20:06:21
Krunk,Tildin,Ranger,60,Wood Elf,alternate,member,6,167,161,2025-10-04 03:25:20,2025-10-26 20:06:21
Krunk,Slydey,Necromancer,53,Gnome,alternate,member,6,167,161,2025-10-04 03:25:20,2025-10-26 20:06:21
Krunk,Ryko,Rogue,60,Barbarian,main,member,6,167,161,2025-10-04 03:25:20,2025-10-26 20:06:21
Krunk,Zartan,Enchanter,60,Dark Elf,alternate,member,6,167,161,2025-10-04 03:25:20,2025-10-26 20:06:21
Krunk,Brazic,Wizard,56,Gnome,alternate,member,6,167,161,2025-10-04 03:25:20,2025-10-26 20:06:21
Krunk,Raszkar,Monk,37,Iksar,alternate,member,6,167,161,2025-10-04 03:25:20,2025-10-26 20:06:21
Kwung,Kwung,Monk,56,Iksar,main,member,3,3,0,2026-04-24 23:31:00,2026-04-25 00:13:37
Kxng,Kxng,Necromancer,60,Dark Elf,main,former,0,10,3,,
Kyoko,Kyoko,Enchanter,60,Dark Elf,main,applicant,0,0,0,2026-02-27 02:11:04,
Kyter,Kyter,Druid,56,Halfling,main,member,0,0,0,2026-01-04 21:43:13,
Labbrat,Labbrat,Warrior,60,Ogre,main,member,94,170,76,2025-09-24 21:22:20,2025-10-22 01:39:09
Laddara,Finkin,Magician,60,Gnome,main,member,231,603,374,2024-10-26 05:50:35,2024-10-28 21:18:11
Laddara,Ogok,Warrior,1,Ogre,alternate,member,231,603,374,2024-10-26 05:50:35,2024-10-28 21:18:11
Laddara,Silaz,Shadow Knight,50,Iksar,alternate,member,231,603,374,2024-10-26 05:50:35,2024-10-28 21:18:11
Laddara,Tilanea,Druid,43,Halfling,alternate,member,231,603,374,2024-10-26 05:50:35,2024-10-28 21:18:11
Laddara,Laddara,Bard,60,Half-Elf,main,member,231,603,374,2024-10-26 05:50:35,2024-10-28 21:18:11
Laddara,Finnin,Cleric,58,Halfling,alternate,member,231,603,374,2024-10-26 05:50:35,2024-10-28 21:18:11
Laddara,Kataru,Beastlord,47,Vah Shir,alternate,member,231,603,374,2024-10-26 05:50:35,2024-10-28 21:18:11
Laddara,Tilena,Ranger,28,Wood Elf,alternate,member,231,603,374,2024-10-26 05:50:35,2024-10-28 21:18:11
Lagar,Lagar,Beastlord,60,Iksar,main,member,0,0,0,2025-11-12 14:58:20,2025-11-25 00:38:47
Laleldar,Laleldar,Beastlord,60,Barbarian,main,member,5,144,139,2025-10-24 03:27:47,2025-11-25 00:36:41
Laleldar,Arklem,Shadow Knight,30,Iksar,alternate,member,5,144,139,2025-10-24 03:27:47,2025-11-25 00:36:41
Laleldar,Artimes,Rogue,12,Dwarf,alternate,member,5,144,139,2025-10-24 03:27:47,2025-11-25 00:36:41
Laleldar,Ugrismag,Wizard,60,High Elf,main,member,5,144,139,2025-10-24 03:27:47,2025-11-25 00:36:41
Laleldar,Buckem,Warrior,11,Iksar,alternate,member,5,144,139,2025-10-24 03:27:47,2025-11-25 00:36:41
Larzek,Larzek,Warrior,60,Ogre,main,applicant,93,0,0,2026-08-10 19:59:50,
Larzek,Pyresta,Wizard,60,Dark Elf,alternate,applicant,93,0,0,2026-08-10 19:59:50,
Leafblight,Flerb,Druid,60,Halfling,alternate,member,53,246,201,2026-03-11 20:21:44,2026-04-05 05:04:34
Leafblight,Leafblight,Enchanter,60,Dwarf,main,member,53,246,201,2026-03-11 20:21:44,2026-04-05 05:04:34
Leafblight,Icastdaspells,Magician,60,Human,alternate,member,53,246,201,2026-03-11 20:21:44,2026-04-05 05:04:34
Leafblight,Tibyan,Necromancer,60,Dark Elf,main,member,53,246,201,2026-03-11 20:21:44,2026-04-05 05:04:34
Legosas,Darksole,Shadow Knight,11,Gnome,alternate,member,251,555,306,2024-10-30 02:01:37,2024-11-07 19:07:59
Legosas,Legosas,Druid,60,Wood Elf,main,member,251,555,306,2024-10-30 02:01:37,2024-11-07 19:07:59
Legosas,Getrhealed,Cleric,29,Dwarf,alternate,member,251,555,306,2024-10-30 02:01:37,2024-11-07 19:07:59
Lerien,Lerien,Druid,45,Half-Elf,main,applicant,0,0,0,2026-01-22 03:27:58,
Lexar,Lexar,Magician,51,High Elf,main,applicant,0,0,0,2025-12-22 15:49:39,
Libertas,Satreak,Shaman,27,Iksar,alternate,member,10,384,374,2025-12-30 00:31:21,
Libertas,Khra,Bard,46,Half-Elf,alternate,member,10,384,374,2025-12-30 00:31:21,
Libertas,Libertas,Paladin,60,Erudite,main,member,10,384,374,2025-12-30 00:31:21,
Libertas,Ardee,Magician,47,Erudite,alternate,member,10,384,374,2025-12-30 00:31:21,
Libertas,Waterpik,Rogue,26,Barbarian,alternate,member,10,384,374,2025-12-30 00:31:21,
Libertas,Linladara,Druid,39,Human,alternate,member,10,384,374,2025-12-30 00:31:21,
Libertas,Yzmir,Necromancer,14,Erudite,alternate,member,10,384,374,2025-12-30 00:31:21,
Libertas,Weaklings,Beastlord,60,Iksar,main,member,10,384,374,2025-12-30 00:31:21,
Linkseo,Linkseo,Paladin,60,Half-Elf,main,member,3,712,740,2025-03-23 18:13:44,
Linkseo,Vivomind,Enchanter,60,Gnome,main,member,3,712,740,2025-03-23 18:13:44,
Litt,Lileval,Necromancer,36,Gnome,alternate,member,48,1006,994,2025-01-19 09:01:20,2025-02-17 03:25:43
Litt,Mishakal,Cleric,10,High Elf,alternate,member,48,1006,994,2025-01-19 09:01:20,2025-02-17 03:25:43
Litt,DNair,Enchanter,1,Dark Elf,alternate,member,48,1006,994,2025-01-19 09:01:20,2025-02-17 03:25:43
Litt,Litt,Warrior,60,Ogre,main,member,48,1006,994,2025-01-19 09:01:20,2025-02-17 03:25:43
Lizardential,Lizardential,Monk,60,Iksar,main,member,30,86,56,2025-09-19 02:12:09,2025-10-15 06:19:06
Lizardential,Reformed,Wizard,57,Erudite,alternate,member,30,86,56,2025-09-19 02:12:09,2025-10-15 06:19:06
Lluum,Lluum,Druid,55,Half-Elf,main,member,21,21,0,2025-12-13 20:12:18,2026-01-05 21:31:27
Luanne,Luanne,Ranger,60,Wood Elf,main,applicant,0,0,0,2026-05-20 20:05:16,
Lukor,Lukor,Cleric,60,Dwarf,main,member,27,19,19,2026-07-15 23:54:41,2026-07-18 01:32:25
Luminara,Luminara,Paladin,60,High Elf,main,member,97,719,695,2025-10-02 23:12:14,
Lykan,Lykan,Beastlord,60,Ogre,main,member,75,105,30,2025-10-01 00:37:03,2025-10-02 02:50:41
Lykan,Cexual,Enchanter,55,Gnome,alternate,member,75,105,30,2025-10-01 00:37:03,2025-10-02 02:50:41
Lykan,Clairec,Cleric,26,Dwarf,alternate,member,75,105,30,2025-10-01 00:37:03,2025-10-02 02:50:41
Lykan,Weatherstone,Ranger,45,Wood Elf,alternate,member,75,105,30,2025-10-01 00:37:03,2025-10-02 02:50:41
Lynxy,Nyxy,Monk,60,Iksar,alternate,member,48,703,732,2025-10-13 17:35:28,2025-11-09 00:06:30
Lynxy,Lynxy,Rogue,60,Gnome,main,member,48,703,732,2025-10-13 17:35:28,2025-11-09 00:06:30
Lynxy,Slynxy,Beastlord,60,Iksar,alternate,member,48,703,732,2025-10-13 17:35:28,2025-11-09 00:06:30
Lynxy,Aihal,Magician,55,Erudite,alternate,member,48,703,732,2025-10-13 17:35:28,2025-11-09 00:06:30
Lynxy,Dottieby,Druid,60,Halfling,alternate,member,48,703,732,2025-10-13 17:35:28,2025-11-09 00:06:30
Lynxy,Ahmezu,Enchanter,60,Gnome,main,member,48,703,732,2025-10-13 17:35:28,2025-11-09 00:06:30
Magitreng,Healitreng,Cleric,60,Dark Elf,alternate,member,153,199,83,2026-05-02 22:29:34,
Magitreng,Portitreng,Druid,60,Halfling,alternate,member,153,199,83,2026-05-02 22:29:34,
Magitreng,Magitreng,Magician,60,Gnome,main,member,153,199,83,2026-05-02 22:29:34,
Magitreng,Stabitreng,Rogue,60,Dwarf,main,member,153,199,83,2026-05-02 22:29:34,
Main,Main,Rogue,1,Human,alternate,applicant,3,0,1,2026-08-25 19:47:52,
Main,Fullmetal,Rogue,60,Dark Elf,main,applicant,3,0,1,2026-08-25 19:47:52,
Malekath,Malekath,Necromancer,60,Iksar,main,member,23,24,1,2025-10-01 09:39:33,2025-10-02 03:23:22
Manolla,Manolla,Rogue,30,Barbarian,main,member,25,25,0,2024-10-23 00:24:06,
Maori,Ridez,Druid,60,Halfling,main,former,0,53,30,,
Maori,Maori,Necromancer,57,Dark Elf,alternate,former,0,53,30,,
Mardigras,Mardigras,Necromancer,60,Iksar,main,applicant,33,42,9,2026-01-21 23:09:24,
Mcfleshman,Mcfleshman,Shaman,56,Barbarian,main,member,8,20,12,2025-04-10 02:33:39,2025-04-24 23:22:06
Meekz,Meekz,Ranger,60,Dark Elf,main,member,406,649,284,2024-10-25 22:57:52,2024-10-28 21:23:32
Mephestus,Zathyrs,Monk,5,Iksar,alternate,member,20,579,609,2025-02-19 04:56:40,2025-04-03 07:15:36
Mephestus,Eigthevil,Shadow Knight,20,Gnome,alternate,member,20,579,609,2025-02-19 04:56:40,2025-04-03 07:15:36
Mephestus,Fydakin,Ranger,9,Wood Elf,alternate,member,20,579,609,2025-02-19 04:56:40,2025-04-03 07:15:36
Mephestus,Fydekeen,Warrior,60,Ogre,main,member,20,579,609,2025-02-19 04:56:40,2025-04-03 07:15:36
Mephestus,Cabbat,Magician,60,Dark Elf,alternate,member,20,579,609,2025-02-19 04:56:40,2025-04-03 07:15:36
Mephestus,Ferath,Beastlord,5,Barbarian,alternate,member,20,579,609,2025-02-19 04:56:40,2025-04-03 07:15:36
Mephestus,Mephestus,Enchanter,60,Dark Elf,main,member,20,579,609,2025-02-19 04:56:40,2025-04-03 07:15:36
Mephestus,Galnack,Rogue,60,Dark Elf,alternate,member,20,579,609,2025-02-19 04:56:40,2025-04-03 07:15:36
Mephestus,Treack,Druid,46,Wood Elf,alternate,member,20,579,609,2025-02-19 04:56:40,2025-04-03 07:15:36
Messimer,Pewster,Ranger,60,Halfling,main,member,55,361,310,2024-12-22 03:21:09,
Messimer,Messimer,Enchanter,60,High Elf,main,member,55,361,310,2024-12-22 03:21:09,
Microizra,Neku,Shadow Knight,16,Troll,alternate,officer,108,1502,1457,2024-10-26 00:50:50,
Microizra,Microizra,Cleric,60,Halfling,main,officer,108,1502,1457,2024-10-26 00:50:50,
Microizra,Dric,Beastlord,20,Troll,alternate,officer,108,1502,1457,2024-10-26 00:50:50,
Microizra,Pinkpantheress,Druid,1,Wood Elf,alternate,officer,108,1502,1457,2024-10-26 00:50:50,
Microizra,Neki,Ranger,60,Wood Elf,main,officer,108,1502,1457,2024-10-26 00:50:50,
Middleagedman,Tartugar,Beastlord,52,Ogre,alternate,applicant,31,35,4,2026-03-03 18:13:24,
Middleagedman,Middleagedman,Magician,60,Gnome,main,applicant,31,35,4,2026-03-03 18:13:24,
Mipsy,Mipsy,Magician,60,Gnome,main,applicant,69,0,0,2026-08-10 20:00:30,
Mipsy,Roughnight,Cleric,60,Dwarf,alternate,applicant,69,0,0,2026-08-10 20:00:30,
Missappropriate,Unrancita,Shadow Knight,45,Dark Elf,alternate,member,46,224,178,2025-09-17 00:26:07,2025-10-13 20:06:17
Missappropriate,Missappropriate,Magician,60,Human,main,member,46,224,178,2025-09-17 00:26:07,2025-10-13 20:06:17
Mixim,Noxxon,Necromancer,60,Iksar,main,member,130,631,565,2026-01-04 01:12:44,2026-01-24 03:25:36
Mixim,Kotok,Shadow Knight,9,Ogre,alternate,member,130,631,565,2026-01-04 01:12:44,2026-01-24 03:25:36
Mixim,Onno,Enchanter,10,Dark Elf,alternate,member,130,631,565,2026-01-04 01:12:44,2026-01-24 03:25:36
Mixim,Vilroz,Monk,60,Iksar,alternate,member,130,631,565,2026-01-04 01:12:44,2026-01-24 03:25:36
Mixim,Mixim,Cleric,60,Dark Elf,main,member,130,631,565,2026-01-04 01:12:44,2026-01-24 03:25:36
Mixim,Arazara,Bard,46,Wood Elf,alternate,member,130,631,565,2026-01-04 01:12:44,2026-01-24 03:25:36
Mknight,Tundarin,Ranger,40,Half-Elf,alternate,member,4,125,163,2025-02-17 02:53:53,
Mknight,Mknight,Shaman,60,Barbarian,main,member,4,125,163,2025-02-17 02:53:53,
Mknight,Puckk,Warrior,55,Halfling,alternate,member,4,125,163,2025-02-17 02:53:53,
Mknight,Blazora,Wizard,60,Erudite,main,member,4,125,163,2025-02-17 02:53:53,
Mofa,Mofa,Magician,60,Human,main,applicant,18,0,0,2026-08-17 16:37:34,
Momula,Momula,Shaman,60,Troll,main,member,38,659,684,2025-12-12 21:09:04,2026-01-02 18:23:49
Murum,Murum,Magician,54,Gnome,main,inactive,17,18,1,2025-06-18 00:47:01,
Naavi,Naavi,Monk,60,Iksar,main,member,7,528,523,2025-01-15 01:17:23,2025-02-10 23:49:01
Naavi,Kenzie,Enchanter,8,High Elf,alternate,member,7,528,523,2025-01-15 01:17:23,2025-02-10 23:49:01
Nakarkos,Umbrood,Paladin,30,High Elf,alternate,member,25,36,11,2026-03-08 21:12:39,2026-04-06 21:55:47
Nakarkos,Mossvine,Ranger,50,Wood Elf,alternate,member,25,36,11,2026-03-08 21:12:39,2026-04-06 21:55:47
Nakarkos,Hightime,Druid,52,Half-Elf,alternate,member,25,36,11,2026-03-08 21:12:39,2026-04-06 21:55:47
Nakarkos,Spiner,Shaman,28,Iksar,alternate,member,25,36,11,2026-03-08 21:12:39,2026-04-06 21:55:47
Nakarkos,Aqualation,Bard,30,Human,alternate,member,25,36,11,2026-03-08 21:12:39,2026-04-06 21:55:47
Nakarkos,Melynx,Cleric,57,Dwarf,alternate,member,25,36,11,2026-03-08 21:12:39,2026-04-06 21:55:47
Nakarkos,Mosswine,Rogue,60,Barbarian,main,member,25,36,11,2026-03-08 21:12:39,2026-04-06 21:55:47
Nakarkos,Mosspet,Magician,60,Dark Elf,main,member,25,36,11,2026-03-08 21:12:39,2026-04-06 21:55:47
Nakarkos,Nakarkos,Necromancer,57,Iksar,alternate,member,25,36,11,2026-03-08 21:12:39,2026-04-06 21:55:47
Nath,Termite,Shaman,60,Troll,main,member,22,516,508,2024-10-28 15:14:10,2024-11-18 22:21:30
Nath,Nath,Warrior,60,Ogre,alternate,member,22,516,508,2024-10-28 15:14:10,2024-11-18 22:21:30
Nath,Mangione,Bard,60,Half-Elf,alternate,member,22,516,508,2024-10-28 15:14:10,2024-11-18 22:21:30
Nath,Xindi,Beastlord,60,Iksar,main,member,22,516,508,2024-10-28 15:14:10,2024-11-18 22:21:30
Nath,Yazzo,Enchanter,53,High Elf,alternate,member,22,516,508,2024-10-28 15:14:10,2024-11-18 22:21:30
Necrocon,Necrocon,Necromancer,60,Dark Elf,main,member,109,129,20,2025-12-01 02:28:47,2025-12-20 01:51:52
Nethi,Ethiria,Rogue,60,Halfling,main,member,128,667,619,2025-11-15 21:36:03,2025-11-25 00:36:08
Nethi,Nethi,Druid,60,Halfling,main,member,128,667,619,2025-11-15 21:36:03,2025-11-25 00:36:08
Nightwish,Knightwish,Shadow Knight,36,Dark Elf,alternate,member,40,474,438,2025-10-02 23:44:19,
Nightwish,Nightwish,Bard,60,High Elf,main,member,40,474,438,2025-10-02 23:44:19,
Nightwish,Aaraden,Paladin,43,Human,alternate,member,40,474,438,2025-10-02 23:44:19,
Nightwish,Romanticide,Enchanter,60,High Elf,alternate,member,40,474,438,2025-10-02 23:44:19,
Nightwish,Knightingale,Magician,49,Gnome,alternate,member,40,474,438,2025-10-02 23:44:19,
Nilaya,Nilaya,Enchanter,58,Dark Elf,main,member,15,23,8,2025-03-09 19:21:42,2025-03-24 21:45:09
Nilaya,Mellifluous,Bard,18,Wood Elf,alternate,member,15,23,8,2025-03-09 19:21:42,2025-03-24 21:45:09
Ninjavanish,Vinamar,Enchanter,18,Dark Elf,alternate,member,395,768,373,2025-04-21 01:05:45,2025-05-19 04:37:49
Ninjavanish,Ninjavanish,Rogue,60,Barbarian,main,member,395,768,373,2025-04-21 01:05:45,2025-05-19 04:37:49
Nozzlecog,Nozzlecog,Magician,60,Gnome,main,inactive,55,273,218,2025-01-19 23:06:40,
Nozzlecog,Skywaltzer,Bard,39,Half-Elf,alternate,inactive,55,273,218,2025-01-19 23:06:40,
Nozzlecog,Reekin,Shadow Knight,10,Ogre,alternate,inactive,55,273,218,2025-01-19 23:06:40,
Numb,Taishi,Shadow Knight,55,Gnome,alternate,member,89,1083,1059,2024-10-27 23:46:10,2024-10-28 21:23:58
Numb,Smarshmallow,Warrior,52,Ogre,alternate,member,89,1083,1059,2024-10-27 23:46:10,2024-10-28 21:23:58
Numb,Filya,Cleric,60,High Elf,main,member,89,1083,1059,2024-10-27 23:46:10,2024-10-28 21:23:58
Numb,Ajja,Enchanter,59,High Elf,alternate,member,89,1083,1059,2024-10-27 23:46:10,2024-10-28 21:23:58
Numb,Devos,Shaman,20,Iksar,alternate,member,89,1083,1059,2024-10-27 23:46:10,2024-10-28 21:23:58
Numb,Numb,Bard,60,Half-Elf,main,member,89,1083,1059,2024-10-27 23:46:10,2024-10-28 21:23:58
Ohnoz,Ohnoz,Cleric,60,Gnome,main,member,51,250,201,2025-01-15 16:51:03,2025-01-20 22:37:32
Peetho,Peetho,Ranger,60,Wood Elf,main,guild leader,315,938,623,2024-10-23 12:47:08,
Peetho,Iria,Necromancer,17,Iksar,alternate,guild leader,315,938,623,2024-10-23 12:47:08,
Peetho,Thrift,Paladin,1,Erudite,alternate,guild leader,315,938,623,2024-10-23 12:47:08,
Peetho,Kitrunner,Warrior,3,Half-Elf,alternate,guild leader,315,938,623,2024-10-23 12:47:08,
Peetho,Nurrse,Cleric,59,Gnome,alternate,guild leader,315,938,623,2024-10-23 12:47:08,
Persuasions,Persuasions,Bard,47,Human,main,applicant,0,0,0,2026-03-04 03:19:08,
Plucking,Moredoor,Necromancer,51,Iksar,alternate,member,2,288,286,2026-01-10 07:15:06,2026-02-01 04:01:51
Plucking,Plucking,Ranger,60,Wood Elf,main,member,2,288,286,2026-01-10 07:15:06,2026-02-01 04:01:51
Plucking,Greenmoist,Shadow Knight,20,Iksar,alternate,member,2,288,286,2026-01-10 07:15:06,2026-02-01 04:01:51
Plucking,Lizor,Monk,38,Iksar,alternate,member,2,288,286,2026-01-10 07:15:06,2026-02-01 04:01:51
Poppernug,Poppernug,Shadow Knight,60,Human,main,member,26,85,149,2026-06-23 15:57:25,2026-06-29 17:29:48
Puarissa,Puarissa,Magician,60,Gnome,main,member,47,605,627,2025-11-30 06:07:10,2025-12-27 01:54:54
Rainfall,Rainfall,Ranger,60,Wood Elf,main,member,11,198,213,2026-04-10 04:01:18,2026-05-07 00:11:07
Rakz,Rakz,Beastlord,60,Iksar,main,member,137,204,67,2025-10-21 05:56:45,
Ramphis,Ramphis,Enchanter,60,Dark Elf,main,applicant,32,58,92,2026-06-06 20:40:15,
Ramphis,Letterfoot,Ranger,54,Halfling,alternate,applicant,32,58,92,2026-06-06 20:40:15,
Randomladders,Sirstabsalot,Rogue,60,Halfling,main,member,69,854,802,2025-03-21 02:33:22,2025-04-24 23:21:50
Randomladders,Randomladders,Shadow Knight,60,Ogre,main,member,69,854,802,2025-03-21 02:33:22,2025-04-24 23:21:50
Rawket,Phubar,Ranger,54,Wood Elf,alternate,member,97,797,754,2025-10-30 03:44:12,2025-11-14 02:14:29
Rawket,Hause,Shadow Knight,55,Gnome,alternate,member,97,797,754,2025-10-30 03:44:12,2025-11-14 02:14:29
Rawket,Rawket,Wizard,60,High Elf,main,member,97,797,754,2025-10-30 03:44:12,2025-11-14 02:14:29
Rawket,Battlebuddy,Cleric,10,Gnome,alternate,member,97,797,754,2025-10-30 03:44:12,2025-11-14 02:14:29
Razk,Rathir,Shadow Knight,51,Iksar,alternate,member,32,96,64,2025-09-06 19:53:13,2025-10-02 03:33:23
Razk,Razk,Necromancer,60,Iksar,main,member,32,96,64,2025-09-06 19:53:13,2025-10-02 03:33:23
Redonkulous,Radeekulous,Wizard,51,Dark Elf,alternate,member,330,1184,897,2024-10-29 00:55:20,2024-11-18 22:22:51
Redonkulous,Redeekulous,Necromancer,60,Iksar,alternate,member,330,1184,897,2024-10-29 00:55:20,2024-11-18 22:22:51
Redonkulous,Kelisti,Enchanter,60,Dark Elf,main,member,330,1184,897,2024-10-29 00:55:20,2024-11-18 22:22:51
Redonkulous,Redonkulous,Cleric,60,Dark Elf,main,member,330,1184,897,2024-10-29 00:55:20,2024-11-18 22:22:51
Redonkulous,Amue,Bard,60,Wood Elf,alternate,member,330,1184,897,2024-10-29 00:55:20,2024-11-18 22:22:51
